year,sp500_us_total_return,portfolio_100_0_synthetic,portfolio_70_30_synthetic,portfolio_50_50_synthetic,portfolio_30_70_synthetic,portfolio_15_85_synthetic,balanced_60_40_synthetic,conservative_40_60_synthetic,months_observed,source
1972,0.21878108,0.21878108,0.16214676,0.12439054,0.08663432,0.05831716,0.14326865,0.10551243,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1973,-0.16858452,-0.16858452,-0.10900916,-0.06929226,-0.02957535,0.00021232,-0.08915071,-0.04943381,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1974,-0.26095452,-0.26095452,-0.17366816,-0.11547726,-0.05728636,-0.01364318,-0.14457271,-0.08638181,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1975,0.38042723,0.38042723,0.27529906,0.20521361,0.13512817,0.08256408,0.24025634,0.17017089,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1976,0.22519200,0.22519200,0.16663440,0.12759600,0.08855760,0.05927880,0.14711520,0.10807680,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1977,-0.06305257,-0.06305257,-0.03513680,-0.01652628,0.00208423,0.01604211,-0.02583154,-0.00722103,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1978,0.07820957,0.07820957,0.06374670,0.05410478,0.04446287,0.03723143,0.05892574,0.04928383,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1979,0.18159979,0.18159979,0.13611985,0.10579989,0.07547994,0.05273997,0.12095987,0.09063991,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1980,0.30228958,0.30228958,0.22060271,0.16614479,0.11168687,0.07084344,0.19337375,0.13891583,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1981,-0.02499223,-0.02499223,-0.00849456,0.00250389,0.01350233,0.02175117,-0.00299534,0.00800311,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1982,0.19204600,0.19204600,0.14343220,0.11102300,0.07861380,0.05430690,0.12722760,0.09481840,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1983,0.23170658,0.23170658,0.17119461,0.13085329,0.09051197,0.06025599,0.15102395,0.11068263,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1984,0.04721840,0.04721840,0.04205288,0.03860920,0.03516552,0.03258276,0.04033104,0.03688736,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1985,0.31357702,0.31357702,0.22850392,0.17178851,0.11507311,0.07253655,0.20014621,0.14343081,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1986,0.24119238,0.24119238,0.17783467,0.13559619,0.09335771,0.06167886,0.15671543,0.11447695,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1987,-0.00105041,-0.00105041,0.00826471,0.01447479,0.02068488,0.02534244,0.01136975,0.01757983,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1988,0.18795837,0.18795837,0.14057086,0.10897919,0.07738751,0.05369376,0.12477502,0.09318335,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1989,0.30210796,0.30210796,0.22047557,0.16605398,0.11163239,0.07081619,0.19326478,0.13884319,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1990,-0.02350026,-0.02350026,-0.00745018,0.00324987,0.01394992,0.02197496,-0.00210016,0.00859990,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1991,0.22069456,0.22069456,0.16348619,0.12534728,0.08720837,0.05860418,0.14441674,0.10627782,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1992,0.15505603,0.15505603,0.11753922,0.09252802,0.06751681,0.04875841,0.10503362,0.08002241,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1993,0.09960390,0.09960390,0.07872273,0.06480195,0.05088117,0.04044058,0.07176234,0.05784156,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
